,create_time,text,retweets,favorites,text_clean,polarity,subjectivity,sentiment_2,keywords
11,2020-10-21 01:24:24,Wouldn’t be a birthday without a little cake—even while campaigning. https://t.co/YgDooGiKOp,4105,62841,wouldnt birthday without little cakeeven campaigning,-0.1875,0.5,negative,other
12,2020-10-20 22:41:07,"Loved chatting with @CurlyVee to talk pupusas, politics, and our Zodiac signs. More to come soon with @BFPeroLike a… https://t.co/oTZmJdztQD",947,8242,loved chatting curlyvee talk pupusas politics zodiac signs come soon bfperolike,0.6,0.65,positive,other
13,2020-10-20 20:06:52,"As president, @JoeBiden will restore the soul of our nation and bring decency back to the White House. But we only… https://t.co/ZPmSopRuq8",2164,10072,president joebiden restore soul nation bring decency back white house,0.0,0.0,neutral,other
14,2020-10-20 19:39:11,My birthday wish this year? For everyone to go vote: https://t.co/MykJL0X5gt.,19359,173864,birthday wish year everyone go vote,0.0,0.0,neutral,other
15,2020-10-20 19:37:58,"RT @JoeBiden: Two weeks from today, we’re going to beat President Trump.",60055,0,rt joebiden two weeks today going beat president trump,0.0,0.0,neutral,other
16,2020-10-20 17:15:34,"I couldn’t let the day go by without wishing my niece, Meena, a happy birthday too! https://t.co/bioEkKE7gL",5208,89690,couldnt let day go without wishing niece meena happy birthday,1.0,1.0,positive,other
17,2020-10-20 16:12:27,"Enjoyed sitting down with @NBA players @CJMcCollum, @spidadmitchell, and @tobias31 to discuss critical issues facin… https://t.co/LnFgxLg0Py",1144,5805,enjoyed sitting nba players cjmccollum spidadmitchell tobias31 discuss critical issues facin,0.11481481481481481,0.5962962962962963,positive,other
18,2020-10-20 12:55:22,Reply to this tweet to wish Kamala a happy birthday! https://t.co/CTPPwg05nu,30358,251518,reply tweet wish kamala happy birthday,1.0,1.0,positive,other
19,2020-10-20 01:50:01,Trump and Pence are doing everything they can to rip away health care for millions of Americans in a global pandemi… https://t.co/L4wfUBpufV,13221,70303,trump pence everything rip away health care millions americans global pandemi,0.0,0.0,neutral,other
20,2020-10-19 23:34:30,Tomorrow. https://t.co/3qJsdglOtu,4549,29507,tomorrow,0.0,0.0,neutral,other
21,2020-10-19 22:09:33,"Rain or shine, democracy waits for no one. https://t.co/DMimsHbmWO",18187,155864,rain shine democracy waits one,0.0,0.0,neutral,other
22,2020-10-19 21:32:31,"Florida, it’s great to be back! https://t.co/eRNlu6RlFz",11748,99369,florida great back,0.4,0.375,positive,other
23,2020-10-19 18:56:56,"As a huge Avengers and Black Panther fan, I could not be more excited for our grassroots fundraiser tomorrow with… https://t.co/fLhbEyzoh1",3436,23522,huge avengers black panther fan could excited grassroots fundraiser tomorrow,0.27708333333333335,0.6458333333333334,positive,other
24,2020-10-19 16:01:43,"More than 219,000 Americans have died from COVID-19 and we've seen the worst economic crisis since the Great Depres… https://t.co/UZ2cADyhZn",2063,7591,americans died seen worst economic crisis since great depres,0.125,0.6125,positive,other
25,2020-10-19 15:12:13,We the people have the power: https://t.co/MykJL0X5gt. https://t.co/5kzLNoHoBO,9782,38672,people power,0.0,0.0,neutral,other
26,2020-10-19 13:05:41,Only 15 days until Election Day. Make a plan and vote early.,19912,161197,15 days election day make plan vote early,0.05,0.65,positive,election
27,2020-10-19 01:58:00,The @JoeBiden-Harris plan won't increase taxes on anyone making less than $400K and asks the super wealthy and big… https://t.co/3Ue3W54JKy,19432,113331,plan wo increase taxes anyone making less 400k asks super wealthy big,0.2222222222222222,0.5777777777777778,positive,other
28,2020-10-19 00:02:00,Many Americans aren’t sure how they’re going to pay rent at the end of the month. The Senate should be working day… https://t.co/uiEVLIFPFk,17476,93101,many americans arent sure theyre going pay rent end month senate working day,0.5,0.6944444444444444,positive,other
29,2020-10-18 23:12:14,"RT @JoeBiden: I’ve had a rule my entire life: No matter what’s happening, no matter how important the meeting, I’ll always answer a call fr…",15337,0,rt joebiden ive rule entire life matter whats happening matter important meeting ill always answer call fr,0.2,0.8125,positive,other
30,2020-10-18 22:02:14,"HBCUs, like Shaw University, have nurtured and challenged students for generations. I stand here today on their sho… https://t.co/rgw3FyeMw9",2114,11048,hbcus like shaw university nurtured challenged students generations stand today sho,0.0,0.0,neutral,other
31,2020-10-18 20:05:32,"RT @DrBiden: One vote could be the difference between winning and losing a precinct.

One precinct could win a state.

One state could deci…",23429,0,rt drbiden one vote could difference winning losing precinct one precinct could win state one state could deci,0.65,0.575,positive,other
32,2020-10-18 18:32:02,"Campaigning may look a little different these days, but what hasn’t changed is the American people’s determination… https://t.co/sVv77IH5Kx",5281,33707,campaigning may look little different days hasnt changed american peoples determination,-0.0625,0.3666666666666667,negative,other
33,2020-10-18 17:02:42,RT @JoeBiden: Turns out Twitter isn’t so bad when you read tweets that aren’t from President Trump. https://t.co/ZKA2dwZQks,41011,0,rt joebiden turns twitter isnt bad read tweets arent president trump,-0.6999999999999998,0.6666666666666666,negative,other
34,2020-10-18 13:34:20,Every single vote matters. Visit https://t.co/hLNCanGpin to lock in your plan to vote now.,8001,46946,every single vote matters visit lock plan vote,-0.07142857142857142,0.21428571428571427,negative,other
35,2020-10-18 01:35:00,"Black Americans are dying from COVID-19 at 2x the rate of white Americans. 

This pandemic has further reinforced h… https://t.co/7Ooqhv99Fe",11071,57460,black americans dying 2x rate white americans pandemic reinforced h,-0.05555555555555555,0.3111111111111111,negative,other
36,2020-10-17 23:58:06,"RT @JoeBiden: In the middle of a pandemic, President Trump is trying to eliminate Obamacare and increase health care costs for millions.

N…",14913,0,rt joebiden middle pandemic president trump trying eliminate obamacare increase health care costs millions n,0.0,0.0,neutral,other
37,2020-10-17 22:25:26,"Last month I ran into a few @HowardU seniors when I was visiting campus. To them and all my fellow Bison, happy vir… https://t.co/f77rrW7X9b",3174,20477,last month ran howardu seniors visiting campus fellow bison happy vir,0.20000000000000004,0.3888888888888889,positive,other
38,2020-10-17 20:22:01,"There is nothing more powerful than a determined group of women marching, protesting—and voting. Don’t wait: join w… https://t.co/aJRs797MYt",14136,87217,nothing powerful determined group women marching protestingand voting dont wait join w,0.4,0.75,positive,other
39,2020-10-17 20:17:38,RT @JoeBiden: Promise? https://t.co/Wbl86i8uYo,42927,0,rt joebiden promise,0.0,0.0,neutral,other
40,2020-10-17 18:13:36,"Don’t throw away your shot: vote early. 

https://t.co/MykJL0X5gt https://t.co/aiBJvgXp3D",7293,36699,dont throw away shot vote early,0.1,0.3,positive,other
41,2020-10-17 16:00:01,"My mother raised me to see what could be, unburdened by what has been. https://t.co/5sNj8MmjvZ",8097,36925,mother raised see could unburdened,0.0,0.0,neutral,other
42,2020-10-17 14:17:39,".@DouglasEmhoff and I wish our Hindu American friends and family, and all those celebrating, a very Happy Navratri!… https://t.co/tSzat7iR0G",5744,44802,douglasemhoff wish hindu american friends family celebrating happy navratri,0.5,0.5,positive,other
43,2020-10-17 01:27:00,Americans are suffering from a deadly pandemic and a historic economic crisis. Instead of providing relief to famil… https://t.co/IO3ewC52Y5,15960,85895,americans suffering deadly pandemic historic economic crisis instead providing relief famil,0.0,0.20000000000000004,neutral,other
44,2020-10-16 23:46:45,Californians—and all Americans—deserve better. https://t.co/vTThtEy3W1,7434,54414,californiansand americansdeserve better,0.5,0.5,positive,other
45,2020-10-16 21:15:05,"This is what we’re voting for. 
https://t.co/BTb2gQr9eU",6904,26375,voting,0.0,0.0,neutral,other
46,2020-10-16 20:52:32,RT @JoeBiden: The cast of Hamilton knows we're engaged in a battle for this nation's very soul — and this election is too important to sit…,3951,0,rt joebiden cast hamilton knows engaged battle nation soul election important sit,0.30000000000000004,0.65,positive,election
47,2020-10-16 19:34:43,Trump and Pence want to take health care away from millions—and they have no plan to replace it with. Tune in now t… https://t.co/uq5oWBlAbq,1766,7621,trump pence want take health care away millionsand plan replace tune,0.0,0.0,neutral,other
48,2020-10-16 17:15:34,"We are in the middle of an election. More than 20 million Americans have already voted.

It is only right and fair… https://t.co/a78IqWm86H",11835,72627,middle election 20 million americans already voted right fair,0.19642857142857142,0.5089285714285714,positive,election
49,2020-10-16 15:40:10,"RT @JoeBiden: .@JLo and @AROD –– Jill and I are deeply grateful to have your support.

Thank you for stepping up and speaking out. As Jenni…",7927,0,rt joebiden jlo arod jill deeply grateful support thank stepping speaking jenni,0.0,0.4,neutral,other
50,2020-10-16 14:12:01,"Trump has spent full-time spewing hate and division. It’s time to end the pain, end the chaos, and elect @JoeBiden. https://t.co/XpGfxpjcY3",7030,34123,trump spent spewing hate division time end pain end chaos elect joebiden,-0.033333333333333326,0.6333333333333333,negative,other
51,2020-10-16 02:07:57,"RT @TeamJoe: The town hall might be over, but @JoeBiden is still answering questions from voters in the room. This is the kind of leader we…",11477,0,rt teamjoe town hall might joebiden still answering questions voters room kind leader,0.6,0.9,positive,other
52,2020-10-16 01:44:36,RT @JoeBiden: We have to heal this nation. https://t.co/wD45ZGcKO2,9119,0,rt joebiden heal nation,0.0,0.0,neutral,other
53,2020-10-16 01:34:55,.@JoeBiden will be a president for all Americans. Chip in now to help make the Biden-Harris administration a realit… https://t.co/8xRbqoSXzA,1313,6845,joebiden president americans chip help make administration realit,0.0,0.0,neutral,other
54,2020-10-16 01:31:58,"RT @JoeBiden: We're a diverse country — and unless we are able to treat people equally, we're just never going to meet our potential.",23217,0,rt joebiden diverse country unless able treat people equally never going meet potential,0.16666666666666666,0.625,positive,other
55,2020-10-16 01:22:03,"Under the Trump administration, LGBTQ+ rights have been under attack. We must first undo the harm of this administr… https://t.co/2A4ToybVfN",12819,75705,trump administration rights attack must first undo harm administr,0.25,0.3333333333333333,positive,other
56,2020-10-16 00:48:36,"Mere days after the election, the Supreme Court will hear oral arguments in the Republican-led case to overturn the… https://t.co/zD6EhVaea0",3652,17917,mere days election supreme court hear oral arguments case overturn,-0.5,0.5,negative,election
57,2020-10-16 00:42:48,"Help us power our campaign to victory. Give $5, $15, or whatever you can now: https://t.co/96YADz3bZf",718,3109,help us power campaign victory give 5 15 whatever,0.0,0.0,neutral,other
58,2020-10-16 00:24:15,"RT @JoeBiden: The words of a president matter. And when a president doesn't wear a mask or makes fun of folks who do, it has consequences.",17704,0,rt joebiden words president matter president wear mask makes fun folks consequences,0.3,0.2,positive,other
59,2020-10-16 00:17:29,.@JoeBiden and I believe the economy is doing well when our workers and our families are doing well. That’s why our… https://t.co/d6e1FOqEze,4452,25624,joebiden believe economy well workers families well thats,0.0,0.0,neutral,other
60,2020-10-16 00:14:32,RT @TeamJoe: Donald Trump failed our nation with his response to COVID-19. @JoeBiden has stepped up and given us the plan for recovery we d…,939,0,rt teamjoe donald trump failed nation response joebiden stepped given us plan recovery,-0.5,0.3,negative,other
61,2020-10-16 00:12:27,"RT @JoeBiden: We're eight months into this pandemic, and Donald Trump still doesn't have a plan to get this virus under control.

I do.",10471,0,rt joebiden eight months pandemic donald trump still plan get virus control,0.0,0.0,neutral,other
62,2020-10-16 00:09:23,"Here are the facts:
→8M Americans infected and over 217,000 dead
→Over 25M on unemployment
→400,000 small businesse… https://t.co/N9IwBnM7R3",3028,11630,facts 8m americans infected dead 25m unemployment small businesse,-0.225,0.4,negative,other
63,2020-10-15 23:51:19,"RT @JoeBiden: I’m about to step on stage for tonight’s town hall in Philadelphia, Pennsylvania. Tune in to @ABC to watch live.",9359,0,rt joebiden im step stage tonights town hall philadelphia pennsylvania tune abc watch live,0.13636363636363635,0.5,positive,other
64,2020-10-15 23:24:24,"One word: heartless. 
https://t.co/Vnj2NY3vX6",5340,22116,one word heartless,0.0,0.0,neutral,other
65,2020-10-15 21:02:00,It’s been over a week since I stepped off the debate stage and gave Bruce a call. I hope to try his sister’s cookin… https://t.co/YQFnb8c0Sq,1233,11959,week since stepped debate stage gave bruce call hope try sisters cookin,0.0,0.0,neutral,other
66,2020-10-15 19:34:01,"To all LGBTQ+ youth who are facing bullying and harassment, know that you deserve to be accepted and loved just as you are. #SpiritDay",10514,78344,youth facing bullying harassment know deserve accepted loved spiritday,0.7,0.8,positive,other
67,2020-10-15 14:35:15,"I will be transparent with you about any test results that I do receive. In the meantime, remember: wear a mask, pr… https://t.co/LDcuIaupXM",6859,87081,transparent test results receive meantime remember wear mask pr,0.0,0.0,neutral,other
68,2020-10-15 14:35:15,"Both the crew member and the staff member were wearing N95 masks at all points they were near me, and our doctors b… https://t.co/v0ZFS75aJy",4222,61072,crew member staff member wearing n95 masks points near doctors b,0.1,0.4,positive,other
69,2020-10-15 14:35:15,"Late last night, I learned a non-staff flight crew member &amp; a member of my team tested positive for COVID. I wasn’t… https://t.co/Ezfw3MU1qF",11824,133639,late last night learned flight crew member member team tested positive covid wasnt,-0.024242424242424242,0.404040404040404,negative,other
70,2020-10-15 03:24:39,Trump and his administration failed the American people. https://t.co/MbMMgRJrEo,6617,30875,trump administration failed american people,-0.25,0.15,negative,other
71,2020-10-15 00:36:14,"RT @JoeBiden: Vote for America.

https://t.co/eoxT07uII9 https://t.co/sBd51fgmln",57149,0,rt joebiden vote america,0.0,0.0,neutral,other
72,2020-10-15 00:13:01,People are scared. They’re scared what will happen if the Supreme Court destroys the Affordable Care Act in the mid… https://t.co/dQlBboutKp,7208,42976,people scared theyre scared happen supreme court destroys affordable care act mid,0.0,0.0,neutral,other
73,2020-10-14 23:21:00,Chief Justice John Roberts said in Shelby County v. Holder that no one doubts discrimination in voting still exists… https://t.co/FVedD2qqyp,14311,60811,chief justice john roberts said shelby county holder one doubts discrimination voting still exists,0.0,0.0,neutral,other
74,2020-10-14 22:00:52,Amy Coney Barrett will admit that COVID-19 is infectious. She’ll admit that smoking causes cancer. But whether clim… https://t.co/YnQ9dl3W7a,21350,118917,amy coney barrett admit infectious shell admit smoking causes cancer whether clim,0.0,0.0,neutral,other
75,2020-10-14 19:47:48,"Thank you, @theestallion, for using your voice to speak out. Black women DO deserve better. 

I promise when… https://t.co/YLHkE2pUEJ",9529,59341,thank theestallion using voice speak black women deserve better promise,0.16666666666666669,0.4666666666666667,positive,other
76,2020-10-14 19:46:28,"RT @JoeBiden: Tonight, our campaign will close our books and send in the names of our grassroots supporters for the final time. 

Chip in t…",2332,0,rt joebiden tonight campaign close books send names grassroots supporters final time chip,0.0,1.0,neutral,other
77,2020-10-14 16:48:29,Republicans know the majority of Americans support the Affordable Care Act. So what are they doing? Trying to bypas… https://t.co/SLOyDG5ghl,8833,41575,republicans know majority americans support affordable care act trying bypas,0.0,0.0,neutral,other
78,2020-10-14 14:26:22,Today would have been George Floyd’s 47th birthday. He should still be alive today celebrating another year with hi… https://t.co/hjmO0YwCZL,22676,131061,today would george floyds 47th birthday still alive today celebrating another year hi,0.1,0.4,positive,other
79,2020-10-14 13:27:26,RT @JoeBiden: 20 days.,27214,0,rt joebiden 20 days,0.0,0.0,neutral,other
80,2020-10-14 01:21:01,I asked Amy Coney Barrett whether she had seen or heard statements before her nomination from Donald Trump promisin… https://t.co/oJW6p96lnO,23420,119469,asked amy coney barrett whether seen heard statements nomination donald trump promisin,0.0,0.0,neutral,other
81,2020-10-14 00:02:24,"During her confirmation hearing, Justice Ginsburg said the right to choose was “essential to women’s equality.”

We… https://t.co/ygS2ZMrCbq",16014,80506,confirmation hearing justice ginsburg said right choose essential womens equality,0.14285714285714285,0.4178571428571428,positive,other
82,2020-10-13 21:59:02,Let’s be clear: equal justice under law is at stake with this Supreme Court nomination.,15945,92742,lets clear equal justice law stake supreme court nomination,0.05000000000000001,0.31666666666666665,positive,other
83,2020-10-13 21:20:47,"There are only 21 days left until Election Day. Now is the time to think about when, where, and how you’re going to… https://t.co/k7GruU99D9",1266,5655,21 days left election day time think youre going,0.0,0.5,neutral,election
84,2020-10-13 19:15:09,"My mother always used to tell me, “Kamala, you may be the first to do many things, but make sure you are not the la… https://t.co/EeudB6n9tC",3747,19686,mother always used tell kamala may first many things make sure la,0.4166666666666667,0.5740740740740741,positive,other
85,2020-10-13 18:01:43,"RT @JoeBiden: If you live in:

Kansas
Louisiana
Maryland
Minnesota
New Jersey
Oregon
Virginia
Washington D.C.
West Virginia

Today is your…",9227,0,rt joebiden live kansas louisiana maryland minnesota new jersey oregon virginia washington west virginia today,0.13636363636363635,0.4772727272727273,positive,other
86,2020-10-13 16:12:07,"Republicans want to strike down the Affordable Care Act. If they succeed, you could have to pay for mammograms, can… https://t.co/pN9G7Lq49t",15003,58957,republicans want strike affordable care act succeed could pay mammograms,-0.15555555555555559,0.2888888888888889,negative,other
87,2020-10-13 15:32:18,"RT @JoeBiden: Three weeks from today, we’re going to make Donald Trump a one-term president.",82297,0,rt joebiden three weeks today going make donald trump president,0.0,0.0,neutral,other
88,2020-10-13 13:19:05,"The morning after our first date, @DouglasEmhoff emailed me a list of his available dates for the next couple of mo… https://t.co/sCmUJoterZ",10541,193762,morning first date douglasemhoff emailed list available dates next couple mo,0.21666666666666667,0.24444444444444446,positive,other
89,2020-10-13 01:22:00,"The majority of Americans believe that the next president should fill the vacant Supreme Court seat. 

@JoeBiden and I stand with them.",18970,134578,majority americans believe next president fill vacant supreme court seat joebiden stand,0.0,0.0,neutral,other
90,2020-10-13 00:03:01,Senate Republicans haven’t lifted a finger for 150 days to help the millions of Americans who are struggling to pay… https://t.co/DMXIT1revJ,23601,94718,senate republicans havent lifted finger 150 days help millions americans struggling pay,0.0,0.0,neutral,other
91,2020-10-12 23:12:00,It’s because of @BarackObama and @JoeBiden that over 20 million Americans have gained health care coverage and peop… https://t.co/28ckUSwAyU,5301,20324,barackobama joebiden 20 million americans gained health care coverage peop,0.0,0.0,neutral,other
92,2020-10-12 22:10:16,RT @MichiganDems: We’re in Lansing with @DouglasEmhoff for a voter mobilization event. Join us! https://t.co/K7AddHjYPg,494,0,rt michigandems lansing douglasemhoff voter mobilization event join us,0.0,0.0,neutral,other
93,2020-10-12 21:07:10,"Here is what’s at stake with this Supreme Court nomination:

Voting rights.
Workers’ rights. 
Consumers’ rights.
Sa… https://t.co/NB2yvKy3oD",7928,33677,whats stake supreme court nomination voting rights workers rights consumers rights sa,0.0,0.0,neutral,other
94,2020-10-12 21:06:37,"RT @JoeBiden: Health care is deeply personal to me. And I guarantee you that if I'm elected president, I will protect your family's health…",15515,0,rt joebiden health care deeply personal guarantee elected president protect family health,0.0,0.3,neutral,other
95,2020-10-12 19:22:44,This Supreme Court nomination process is illegitimate and deliberately defies the will of the people. Republicans w… https://t.co/YfMzxMGba8,19514,90480,supreme court nomination process illegitimate deliberately defies people republicans w,0.0,0.0,neutral,other
96,2020-10-12 16:16:45,"Three years ago today, Trump signed an executive order undercutting the Affordable Care Act. 

Today, he’s in court… https://t.co/oRVp744egF",11819,41607,three years ago today trump signed executive order undercutting affordable care act today hes court,0.0,0.0,neutral,other
97,2020-10-12 15:42:14,"RT @JoeBiden: On this Indigenous People’s Day, we must both recognize the past that has brought us here, and commit to one another to write…",7974,0,rt joebiden indigenous peoples day must recognize past brought us commit one another write,-0.25,0.25,negative,other
98,2020-10-12 12:54:34,Congrats @Lakers on your 17th NBA Championship last night. You make California proud. https://t.co/3PtsEest06,1682,18340,congrats lakers 17th nba championship last night make california proud,0.4,0.5333333333333333,positive,other
99,2020-10-12 01:12:00,Ineptitude (noun): lack of skill or ability. https://t.co/WnOhHRqRUu,10833,50359,ineptitude noun lack skill ability,0.0,0.0,neutral,other
100,2020-10-11 21:25:16,"Together we can build a community that is strong and decent, just and kind—one in which we can all see ourselves. 
https://t.co/fQTXSPJBwL",2586,11972,together build community strong decent kindone see,0.3,0.7,positive,other
101,2020-10-11 19:34:01,The Supreme Court makes decisions that impact millions of Americans for generations. We must ensure that the integr… https://t.co/ki37MPc3Y1,12503,72103,supreme court makes decisions impact millions americans generations must ensure integr,0.0,0.0,neutral,other
102,2020-10-11 19:07:28,RT @JoeBiden: There is no excuse for President Trump’s reckless behavior. https://t.co/ooUh6pxRDt,25400,0,rt joebiden excuse president trumps reckless behavior,0.025,0.05,positive,other
103,2020-10-11 17:01:01,"Together, we can build a world where all girls have every opportunity to succeed and thrive. 

And to every girl ou… https://t.co/RbPIkLVOCr",8288,53176,together build world girls every opportunity succeed thrive every girl ou,0.0,0.0,neutral,other
104,2020-10-11 15:17:01,"On #NationalComingOutDay, we celebrate members of the LGBTQ+ community and remember that, even today, it’s not alwa… https://t.co/KQitBEOlVQ",19498,135591,nationalcomingoutday celebrate members community remember even today alwa,0.0,0.0,neutral,other
105,2020-10-11 13:36:42,"Together, we will build our country back better than before.

It was an honor to make the case for @JoeBiden’s and… https://t.co/LkeW7RKLE5",7022,37978,together build country back better honor make case joebidens,0.25,0.25,positive,other
106,2020-10-11 01:24:21,Our campaign is committed to building a broad coalition of supporters that is diverse and inclusive. Proud to share… https://t.co/JvHeLTUkRb,8183,33519,campaign committed building broad coalition supporters diverse inclusive proud share,0.43125,0.65625,positive,other
107,2020-10-10 20:55:38,"Tune in live as @JoeBiden gives remarks in Erie, Pennsylvania about how we will get the American economy back on tr… https://t.co/J3820cCsW9",1527,7541,tune live joebiden gives remarks erie pennsylvania get american economy back tr,0.04545454545454545,0.16666666666666666,positive,other
108,2020-10-10 19:15:03,"With their selection of a nominee to a lifetime appointment on the Supreme Court, Republicans have made it clear: t… https://t.co/oU0n8y5cih",7546,31953,selection nominee lifetime appointment supreme court republicans made clear,0.10000000000000002,0.3833333333333333,positive,election
109,2020-10-10 18:00:03,Donald Trump and Mike Pence don’t have a national testing plan for coronavirus or a national strategy for contact t… https://t.co/d5XwErZFox,13326,70279,donald trump mike pence dont national testing plan coronavirus national strategy contact,0.0,0.0,neutral,other
110,2020-10-10 15:12:02,"On #WorldMentalHealthDay, we affirm that mental health is just as important and real as physical health. Together,… https://t.co/rHdczL1cFQ",12844,78070,worldmentalhealthday affirm mental health important real physical health together,0.10000000000000002,0.47142857142857136,positive,other
111,2020-10-10 14:03:47,"As a proud graduate of Howard University, I’m always excited to hear from HBCU students. We are family—no matter wh… https://t.co/zY5El2wcbn",8851,50704,proud graduate howard university im always excited hear hbcu students familyno matter wh,0.5875,0.875,positive,other
112,2020-10-10 01:07:01,"When we vote, things change.",27315,240452,vote things change,0.0,0.0,neutral,other
113,2020-10-09 21:27:26,The science is clear: social distancing and wearing masks prevents the spread of COVID-19 and saves lives. As we he… https://t.co/AYCyKndh80,4888,24221,science clear social distancing wearing masks prevents spread saves lives,0.06666666666666668,0.22499999999999998,positive,other
114,2020-10-09 20:58:17,"RT @JoeBiden: Why did Donald Trump tell Bob Woodward the truth about COVID-19, but not the American people?",45574,0,rt joebiden donald trump tell bob woodward truth american people,0.0,0.0,neutral,other
115,2020-10-09 19:05:56,"Joe Biden has been very clear: he will not raise taxes on anybody who makes less than $400,000 a year.",33090,222475,joe biden clear raise taxes anybody makes less year,-0.018333333333333313,0.2825,negative,other
116,2020-10-09 18:13:00,"RT @JoeBiden: Folks, if you live in:

Idaho
New York
North Carolina
Oklahoma

Today is your last day to register to vote. Head to https://t…",10161,0,rt joebiden folks live idaho new york north carolina oklahoma today last day register vote head,0.0909090909090909,0.34040404040404043,positive,other
117,2020-10-09 17:11:07,Tune in to listen to my conversation with @iambeckyg about the power of your vote in this election:… https://t.co/zfeMXOXzMX,1297,5574,tune listen conversation iambeckyg power vote election,0.0,0.0,neutral,election
118,2020-10-09 13:42:21,"Good morning. 25 days to go. Let’s get this done, together→ https://t.co/MykJL0X5gt. https://t.co/YMMLCcoDV3",14583,133193,good morning 25 days go lets get done together,0.7,0.6000000000000001,positive,other
119,2020-10-09 01:46:59,Young people graduating from college are wondering if they can get a job. People are worried about whether they’ll… https://t.co/9o2BxgdKQU,13243,94750,young people graduating college wondering get job people worried whether theyll,0.1,0.4,positive,other
120,2020-10-08 21:56:07,.@JoeBiden and I are in Phoenix kicking off our bus tour to fight for our democracy and bring integrity back to the… https://t.co/4T2u0p4yFK,1778,10119,joebiden phoenix kicking bus tour fight democracy bring integrity back,0.0,0.0,neutral,other
121,2020-10-08 20:49:39,"Breonna Taylor was a caregiver. She cared for her grandmother, her family, her community. She was beautiful, inside… https://t.co/20bXsCuaKL",4528,22358,breonna taylor caregiver cared grandmother family community beautiful inside,0.85,1.0,positive,other
122,2020-10-08 19:26:19,"RT @JoeBiden: I promise you that as president, I will always appeal to the best in us — not the worst. https://t.co/E07GuV4m7G",8220,0,rt joebiden promise president always appeal best us worst,0.0,0.65,neutral,other
123,2020-10-08 18:23:55,"On January 28, Donald Trump and Mike Pence were informed about the nature of this pandemic. 

They knew it was leth… https://t.co/26X6u2MR21",25676,113229,january 28 donald trump mike pence informed nature pandemic knew leth,0.0,0.0,neutral,other
124,2020-10-08 15:19:24,"If we use our vote and we use our voice, we will win. Watch a recap of last night's debate now. https://t.co/mJ6vHhAFjL",7953,39257,use vote use voice win watch recap last night debate,0.4,0.23333333333333334,positive,other
125,2020-10-08 13:41:28,"RT @DouglasEmhoff: 26 Days. ⁦@KamalaHarris⁩ was so great last night, but we keep moving onward! Today: Kamala is in Arizona with ⁦@JoeBiden…",7066,0,rt douglasemhoff 26 days kamalaharris great last night keep moving onward today kamala arizona joebiden,0.4,0.4083333333333333,positive,other
126,2020-10-08 13:32:28,"Thankful for all of your messages of support. With only 26 days left until Election Day, let’s use this moment to d… https://t.co/gXTiDR0nWv",10855,136967,thankful messages support 26 days left election day lets use moment,0.0,0.5,neutral,election
